links,dates,places,scores_exterieur,scores_domicile,domiciles,exterieurs,vainqueurs
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/metz-psg-live/477489,2021-04-24 17:00:00,Metz,3,1,Metz,Paris-SG,exterieur
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/nice-montpellier-live/477490,2021-04-25 13:00:00,Nice,1,3,Nice,Montpellier,domicile
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/lens-nimes-live/477486,2021-04-25 15:00:00,Lens,1,2,Lens,Nîmes,domicile
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/rennes-dijon-live/477492,2021-04-25 15:00:00,Rennes,1,5,Rennes,Dijon,domicile
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/strasbourg-nantes-live/477494,2021-04-25 15:00:00,Strasbourg,2,1,Strasbourg,Nantes,exterieur
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/lorient-bordeaux-live/477487,2021-04-25 15:00:00,Lorient,1,4,Lorient,Bordeaux,domicile
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/angers-monaco-live/477485,2021-04-25 17:05:00,Angers,1,0,Angers,Monaco,exterieur
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/ol-lille-live/477488,2021-04-25 21:00:00,Lyon,3,2,Lyon,Lille,exterieur
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/om-strasbourg-live/477500,2021-04-30 21:00:00,Marseille,1,1,Marseille,Strasbourg,ex-aequo
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/psg-lens-live/477504,2021-05-01 17:00:00,Paris,1,2,Paris-SG,Lens,domicile
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/lille-nice-live/477498,2021-05-01 21:00:00,Lille,0,2,Lille,Nice,domicile
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/bordeaux-rennes-live/477495,2021-05-02 13:00:00,Bordeaux,0,1,Bordeaux,Rennes,domicile
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/dijon-metz-live/477497,2021-05-02 15:00:00,Dijon,5,1,Dijon,Metz,exterieur
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/nimes-reims-live/477503,2021-05-02 15:00:00,Nîmes,2,2,Nîmes,Reims,ex-aequo
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/lorient-angers-live/477499,2021-05-02 15:00:00,Lorient,0,2,Lorient,Angers,domicile
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/brest-nantes-live/477496,2021-05-02 15:00:00,Brest,4,1,Brest,Nantes,exterieur
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/montpellier-asse-live/477502,2021-05-02 17:05:00,Montpellier,2,1,Montpellier,Saint-Étienne,exterieur
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/monaco-ol-live/477501,2021-05-02 21:00:00,Monaco,3,2,Monaco,Lyon,exterieur
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/lens-lille-live/477506,2021-05-07 21:00:00,Lens,3,0,Lens,Lille,exterieur
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/nantes-bordeaux-live/477509,2021-05-08 13:00:00,Nantes,0,3,Nantes,Bordeaux,domicile
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/ol-lorient-live/477507,2021-05-08 17:00:00,Lyon,1,4,Lyon,Lorient,domicile
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/asse-om-live/477513,2021-05-09 13:00:00,Saint-Étienne,0,1,Saint-Étienne,Marseille,domicile
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/strasbourg-montpellier-live/477514,2021-05-09 15:00:00,Strasbourg,3,2,Strasbourg,Montpellier,exterieur
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/metz-nimes-live/477508,2021-05-09 15:00:00,Metz,3,0,Metz,Nîmes,exterieur
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/nice-brest-live/477510,2021-05-09 15:00:00,Nice,2,3,Nice,Brest,domicile
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/angers-dijon-live/477505,2021-05-09 15:00:00,Angers,0,3,Angers,Dijon,domicile
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/reims-monaco-live/477511,2021-05-09 17:05:00,Reims,1,0,Reims,Monaco,exterieur
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/rennes-psg-live/477512,2021-05-09 21:00:00,Rennes,1,1,Rennes,Paris-SG,ex-aequo
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/lille-asse-live/477517,2021-05-16 21:00:00,Lille,0,0,Lille,Saint-Étienne,ex-aequo
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/psg-reims-live/477524,2021-05-16 21:00:00,Paris,0,4,Paris-SG,Reims,domicile
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/monaco-rennes-live/477520,2021-05-16 21:00:00,Monaco,1,2,Monaco,Rennes,domicile
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/nimes-ol-live/477523,2021-05-16 21:00:00,Nîmes,5,2,Nîmes,Lyon,exterieur
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/om-angers-live/477519,2021-05-16 21:00:00,Marseille,2,3,Marseille,Angers,domicile
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/bordeaux-lens-live/477515,2021-05-16 21:00:00,Bordeaux,0,3,Bordeaux,Lens,domicile
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/montpellier-brest-live/477521,2021-05-16 21:00:00,Montpellier,0,0,Montpellier,Brest,ex-aequo
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/nice-strasbourg-live/477522,2021-05-16 21:00:00,Nice,2,0,Nice,Strasbourg,exterieur
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/lorient-metz-live/477518,2021-05-16 21:00:00,Lorient,1,2,Lorient,Metz,domicile
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/dijon-nantes-live/477516,2021-05-16 21:00:00,Dijon,4,0,Dijon,Nantes,exterieur
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/angers-lille-live/477525,2021-05-23 21:00:00,Angers,2,1,Angers,Lille,exterieur
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/brest-psg-live/477526,2021-05-23 21:00:00,Brest,2,0,Brest,Paris-SG,exterieur
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/lens-monaco-live/477527,2021-05-23 21:00:00,Lens,0,0,Lens,Monaco,ex-aequo
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/ol-nice-live/477528,2021-05-23 21:00:00,Lyon,3,2,Lyon,Nice,exterieur
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/metz-om-live/477529,2021-05-23 21:00:00,Metz,1,1,Metz,Marseille,ex-aequo
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/rennes-nimes-live/477532,2021-05-23 21:00:00,Rennes,0,2,Rennes,Nîmes,domicile
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/nantes-montpellier-live/477530,2021-05-23 21:00:00,Nantes,2,1,Nantes,Montpellier,exterieur
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/asse-dijon-live/477533,2021-05-23 21:00:00,Saint-Étienne,1,0,Saint-Étienne,Dijon,exterieur
